Date,Open,High,Low,Close,Adj Close,Volume
2009-06-25,4280.000000,4290.399902,4213.399902,4252.600098,4252.600098,1082815700
2009-06-26,4252.600098,4307.200195,4216.500000,4241.000000,4241.000000,1021123100
2009-06-29,4241.000000,4303.600098,4235.200195,4294.000000,4294.000000,1086737200
2009-06-30,4294.000000,4311.200195,4230.600098,4249.200195,4249.200195,1281583500
2009-07-01,4249.200195,4353.000000,4249.200195,4340.700195,4340.700195,1191886800
2009-07-02,4340.700195,4340.700195,4230.799805,4234.299805,4234.299805,1271763500
2009-07-03,4234.299805,4264.799805,4221.200195,4236.299805,4236.299805,905300700
2009-07-06,4236.299805,4236.299805,4172.299805,4194.899902,4194.899902,874675400
2009-07-07,4194.899902,4242.100098,4184.399902,4187.000000,4187.000000,847664200
2009-07-08,4187.000000,4197.600098,4130.600098,4140.200195,4140.200195,1051898200
2009-07-09,4140.200195,4186.399902,4140.200195,4158.700195,4158.700195,900471600
2009-07-10,4158.700195,4160.500000,4123.500000,4127.200195,4127.200195,814402200
2009-07-13,4127.200195,4209.299805,4096.100098,4202.100098,4202.100098,833668500
2009-07-14,4202.100098,4256.399902,4198.700195,4237.700195,4237.700195,867775400
2009-07-15,4237.700195,4346.500000,4237.700195,4346.500000,4346.500000,916566200
2009-07-16,4346.500000,4385.200195,4329.399902,4361.799805,4361.799805,924481400
2009-07-17,4361.799805,4411.899902,4361.799805,4388.799805,4388.799805,1076386600
2009-07-20,4388.799805,4464.799805,4388.799805,4443.600098,4443.600098,953645400
2009-07-21,4443.600098,4502.100098,4437.799805,4481.200195,4481.200195,1080316400
2009-07-22,4481.200195,4498.000000,4449.200195,4493.700195,4493.700195,928783400
2009-07-23,4493.700195,4566.799805,4472.100098,4559.799805,4559.799805,1104970700
2009-07-24,4559.799805,4603.200195,4536.500000,4576.600098,4576.600098,1145016600
2009-07-27,4576.600098,4615.100098,4553.100098,4586.100098,4586.100098,874599400
2009-07-28,4586.100098,4616.399902,4520.299805,4528.799805,4528.799805,966741400
2009-07-29,4528.799805,4581.799805,4512.100098,4547.500000,4547.500000,895089400
2009-07-30,4547.500000,4646.899902,4547.500000,4631.600098,4631.600098,1158922100
2009-07-31,4631.600098,4645.500000,4599.700195,4608.399902,4608.399902,1120900900
2009-08-03,4608.399902,4710.200195,4595.600098,4682.500000,4682.500000,1178151400
2009-08-04,4682.500000,4682.500000,4627.700195,4671.399902,4671.399902,958905100
2009-08-05,4671.399902,4696.600098,4630.600098,4647.100098,4647.100098,1392568600
2009-08-06,4647.100098,4729.600098,4647.100098,4690.500000,4690.500000,1312467700
2009-08-07,4690.500000,4743.600098,4632.200195,4731.600098,4731.600098,1528840500
2009-08-10,4731.600098,4731.600098,4688.799805,4722.200195,4722.200195,892251700
2009-08-11,4722.200195,4744.100098,4657.799805,4671.299805,4671.299805,1051822100
2009-08-12,4671.299805,4722.600098,4631.700195,4716.799805,4716.799805,1010701400
2009-08-13,4716.799805,4790.000000,4716.799805,4755.500000,4755.500000,1013328800
2009-08-14,4755.500000,4790.200195,4699.500000,4714.000000,4714.000000,871182600
2009-08-17,4714.000000,4714.000000,4610.299805,4645.000000,4645.000000,800042900
2009-08-18,4645.000000,4688.200195,4645.000000,4685.799805,4685.799805,732863000
2009-08-19,4685.799805,4698.500000,4625.399902,4689.700195,4689.700195,773947300
2009-08-20,4689.700195,4766.899902,4689.700195,4756.600098,4756.600098,943369300
2009-08-21,4756.600098,4858.500000,4735.799805,4850.899902,4850.899902,1320141100
2009-08-24,4850.899902,4911.399902,4850.899902,4896.200195,4896.200195,900326900
2009-08-25,4896.200195,4923.299805,4858.899902,4916.799805,4916.799805,1044396100
2009-08-26,4916.799805,4927.100098,4872.399902,4890.600098,4890.600098,907787400
2009-08-27,4890.600098,4906.200195,4855.299805,4869.399902,4869.399902,912983500
2009-08-28,4869.399902,4944.200195,4869.399902,4908.899902,4908.899902,1070450000
2009-09-01,4908.899902,4921.200195,4819.700195,4819.700195,4819.700195,1150970500
2009-09-02,4819.700195,4821.899902,4776.500000,4817.600098,4817.600098,1274571700
2009-09-03,4817.600098,4841.500000,4788.899902,4796.799805,4796.799805,965052400
2009-09-04,4796.799805,4873.799805,4796.799805,4851.700195,4851.700195,938072800
2009-09-07,4851.700195,4941.700195,4851.700195,4933.200195,4933.200195,762580200
2009-09-08,4933.200195,4972.000000,4926.100098,4947.299805,4947.299805,1104404400
2009-09-09,4947.299805,5004.299805,4928.399902,5004.299805,5004.299805,913778900
2009-09-10,5004.299805,5035.299805,4956.600098,4987.700195,4987.700195,1108534200
2009-09-11,4987.700195,5038.799805,4987.700195,5011.500000,5011.500000,1012630100
2009-09-14,5011.500000,5020.899902,4953.700195,5018.899902,5018.899902,707999300
2009-09-15,5018.899902,5062.700195,4996.500000,5042.100098,5042.100098,880588100
2009-09-16,5042.100098,5131.299805,5042.100098,5124.100098,5124.100098,1133393000
2009-09-17,5124.100098,5173.100098,5124.100098,5164.000000,5164.000000,1020059900
2009-09-18,5164.000000,5183.899902,5147.100098,5172.899902,5172.899902,1596938600
2009-09-21,5172.899902,5182.200195,5107.700195,5134.399902,5134.399902,957357100
2009-09-22,5134.399902,5189.899902,5134.399902,5142.600098,5142.600098,796945500
2009-09-23,5142.600098,5175.100098,5126.600098,5139.399902,5139.399902,1012734000
2009-09-24,5139.399902,5165.399902,5073.399902,5079.299805,5079.299805,1161742300
2009-09-25,5079.299805,5121.899902,5079.000000,5082.200195,5082.200195,972278200
2009-09-28,5082.200195,5170.799805,5050.799805,5165.700195,5165.700195,925739600
2009-09-29,5165.700195,5184.100098,5136.500000,5159.700195,5159.700195,906053800
2009-09-30,5159.700195,5190.000000,5092.799805,5133.899902,5133.899902,1216010800
2009-10-01,5133.899902,5164.399902,5044.000000,5047.799805,5047.799805,1109157300
2009-10-02,5047.799805,5047.799805,4955.000000,4988.700195,4988.700195,1337511400
2009-10-05,4988.700195,5024.299805,4976.899902,5024.299805,5024.299805,934716900
2009-10-06,5024.299805,5149.899902,5024.299805,5138.000000,5138.000000,1041875400
2009-10-07,5138.000000,5156.200195,5104.500000,5108.899902,5108.899902,926710300
2009-10-08,5108.899902,5172.799805,5108.899902,5154.600098,5154.600098,1182270200
2009-10-09,5154.600098,5171.500000,5130.399902,5161.899902,5161.899902,930745000
2009-10-12,5161.899902,5231.200195,5161.899902,5210.200195,5210.200195,779456100
2009-10-13,5210.200195,5221.700195,5154.200195,5154.200195,5154.200195,1120979200
2009-10-14,5154.200195,5261.299805,5154.200195,5256.100098,5256.100098,1217384100
2009-10-15,5256.100098,5267.899902,5218.899902,5223.000000,5223.000000,1109682700
