Date;Open;High;Low;Close;Adj Close;Volume
Aug 06, 2008;5,454.50;5,498.60;5,440.10;5,486.10;5,486.10;1,634,412,000
Aug 05, 2008;5,320.20;5,454.50;5,299.70;5,454.50;5,454.50;1,655,153,000
Aug 04, 2008;5,354.70;5,414.70;5,310.30;5,320.20;5,320.20;972,098,300
Aug 01, 2008;5,411.90;5,411.90;5,321.30;5,354.70;5,354.70;1,341,947,000
Jul 31, 2008;5,420.70;5,456.10;5,371.30;5,411.90;5,411.90;1,768,570,800
Jul 30, 2008;5,319.20;5,435.90;5,319.20;5,420.70;5,420.70;1,458,308,300
Jul 29, 2008;5,312.60;5,354.60;5,261.40;5,319.20;5,319.20;1,507,025,700
Jul 28, 2008;5,352.60;5,365.80;5,308.40;5,312.60;5,312.60;1,076,152,400
Jul 25, 2008;5,362.30;5,375.20;5,291.40;5,352.60;5,352.60;1,662,768,600
Jul 24, 2008;5,449.90;5,463.70;5,345.10;5,362.30;5,362.30;1,729,970,900
Jul 23, 2008;5,364.10;5,467.20;5,364.10;5,449.90;5,449.90;2,126,534,100
Jul 22, 2008;5,404.30;5,404.30;5,282.80;5,364.20;5,364.20;1,931,906,300
Jul 21, 2008;5,376.40;5,445.80;5,334.60;5,404.30;5,404.30;1,609,590,000
Jul 18, 2008;5,286.30;5,376.40;5,216.60;5,376.40;5,376.40;2,061,723,500
Jul 17, 2008;5,150.60;5,320.50;5,150.60;5,286.30;5,286.30;2,068,339,400
Jul 16, 2008;5,171.90;5,210.10;5,071.10;5,150.60;5,150.60;2,107,222,500
Jul 15, 2008;5,300.40;5,300.40;5,119.00;5,171.90;5,171.90;2,028,827,300
Jul 14, 2008;5,261.60;5,373.20;5,261.60;5,300.40;5,300.40;1,328,602,600
Jul 11, 2008;5,406.80;5,461.80;5,261.60;5,261.60;5,261.60;1,686,940,500
Jul 10, 2008;5,529.60;5,529.60;5,392.60;5,406.80;5,406.80;1,468,540,900
Jul 09, 2008;5,440.50;5,538.20;5,440.50;5,529.60;5,529.60;1,482,113,500
Jul 08, 2008;5,512.70;5,512.70;5,358.70;5,440.50;5,440.50;1,556,629,000
Jul 07, 2008;5,412.80;5,516.40;5,400.10;5,512.70;5,512.70;1,185,721,300
Jul 04, 2008;5,476.60;5,490.20;5,394.00;5,412.80;5,412.80;964,763,400
Jul 03, 2008;5,426.30;5,490.60;5,358.50;5,476.60;5,476.60;1,778,459,100
Jul 02, 2008;5,479.90;5,566.80;5,426.30;5,426.30;5,426.30;1,775,171,700
Jul 01, 2008;5,625.90;5,625.90;5,466.30;5,479.90;5,479.90;1,766,869,500
Jun 30, 2008;5,529.90;5,625.90;5,520.20;5,625.90;5,625.90;1,411,196,700
Jun 27, 2008;5,518.20;5,555.20;5,470.90;5,530.00;5,530.00;1,672,463,300
Jun 26, 2008;5,666.10;5,666.10;5,518.20;5,518.20;5,518.20;1,603,238,500
Jun 25, 2008;5,634.70;5,669.60;5,634.70;5,666.10;5,666.10;1,527,032,700
Jun 24, 2008;5,667.20;5,693.80;5,581.60;5,634.70;5,634.70;1,606,101,000
Jun 23, 2008;5,620.80;5,679.20;5,603.20;5,667.20;5,667.20;1,288,587,600
Jun 20, 2008;5,708.40;5,731.90;5,597.00;5,620.80;5,620.80;1,691,661,700
Jun 19, 2008;5,756.90;5,786.40;5,707.20;5,708.40;5,708.40;1,438,710,400
Jun 18, 2008;5,861.90;5,861.90;5,735.40;5,756.90;5,756.90;1,316,636,300
Jun 17, 2008;5,794.60;5,930.30;5,794.60;5,861.90;5,861.90;1,313,063,800
